APPLICATION_ID,ABSTRACT_TEXT
11173920,"Metabolic dysfunction-associated fatty liver disease and chronic kidney disease, affecting tens of millions of people in the US alone, exhibit pathological dysregulation of lipid metabolism, which is heavily dependent on the pivotal cofactor CoA. Yet, we do not fully understand how cells and tissues regulate and coordinate the biosynthesis of CoA with the demands of CoA-dependent metabolism, biosynthesis, and homeostasis (e.g. of lipids); nor how CoA synthesis dysregulation and disease progression are related in the kidney and liver. As the major carrier of activated acyl groups, CoA is required for the TCA cycle, lipid synthesis, and fatty acid oxidation among other core metabolic processes. It is synthesized from the essential nutrient vitamin B5 (pantothenate), and a family of pantothenate kinases (PANK1-3 in vertebrates) are rate-determining for the pathway. We have discovered that the highly-conserved PANK4, which has metabolite phosphatase activity, is a rate-limiting suppressor of CoA synthesis, and that PI3K-AKT signaling stimulates CoA synthesis (partially by inhibiting PANK4), thus linking insulin signaling to control of CoA supplies. Our preliminary studies demonstrate that additional regulatory mechanisms for CoA synthesis remain to be characterized. The goal of this proposal is to identify new regulatory inputs that control CoA synthesis in response to the metabolic state of cells and tissues, especially the kidney and liver which play central metabolic roles in humans. To meet this goal, we will leverage the unique and combined advantages of fly and mouse models, mass spectrometry-based metabolomics and lipidomics, metabolic flux analyses through isotope tracing, and protein biochemistry. Completion of our aims will reveal new regulatory inputs for CoA synthesis, advance our mechanistic understanding of the in vivo roles of CoA synthesis enzymes, establish novel animal models, and develop new tools in the CoA metabolism field. Ultimately, our results will provide foundational knowledge for understanding kidney and liver physiology and pathophysiology, and for potentially manipulating CoA synthesis as a new therapeutic strategy."
11171024,"Abstract:
The proposed Immune Monitoring Core (IMC; Core 2) has been designed to provide a unified, comprehensive,
and centralized service to provide the U54 investigators with efficient and reproducible high-throughput analysis
of antibody responses to SARS-CoV-2, including binding, functional characterization, and neutralization activity
(both retained clinical specimens and prospectively collected blood samples from Core 1) in support of the
studies described in Projects 1-3. The IMC is an outgrowth of CLIA certified diagnostic assay platforms
developed by IMC investigators and now in use in the Emory Medical Laboratories (EML), as well as a result of
development of relevant assays in the Translational Research laboratory in the Dept. of Pathology and other
Emory sites. IMC activities will be performed by experimental investigators from oncology, pathology, and
infectious diseases, clinical pathologists, and trained technicians. This group’s efforts will be coordinated through
regular meetings between leadership of the three Projects, Core 1, and the Administrative Core. The IMC
activities will achieve the following Specific Aims:
Aim 1. Employ the high-throughput automated RBD ELISA to perform serosurveillance of cancer and
rheumatology patients treated within Emory Healthcare. The Core will utilize anti-RBD ELISA test
(developed by IMC investigators) now in clinical use, as well variants of this test for detection of IgM and IgA
responses. These assays will be used both for sero-surveillance on retained clinical samples from the target
patient groups, and also on prospectively collected samples, as described in Core 1.
Aim 2. Perform detailed evaluations of antibody response to SARS-CoV-2 in COVID-19 infected patients.
While the automated ELISA will be used to screen all samples for anti-RBD antibodies, prospectively collected
samples from SARS-CoV-2 infected patients will also be tested for antibodies against SARS-CoV-2 spike (S),
nucleocapsid (N), envelope (E) and membrane (M) proteins. Additionally, functional characterization of SARS-
CoV-2 antibodies will include assays of antibody dependent cell-mediated cytotoxicity (ADCC).
Aim 3. Measuring the neutralization activity in COVID-19 infected patients. Prospectively collected samples
from designated patient groups which have SARS-CoV-2 antibodies by ELISA will be tested in the pseudovirus
neutralization assay under BSL2+ conditions. Subsequently, those samples that are positive will be confirmed
using a recently developed focus reduction neutralization titer (FRNT)-mNG assay.
Overall, this Core allows U54 investigators to take advantage of state-of-the-art and diagnostic quality immune
monitoring to achieve Project goals."
11171025,"Abstract
COVID-19 infection is greatly heterogenous. Individuals with underlying immune dysregulation,
will have abnormal responses to COVID-19, thereby accounting for different short-term outcomes
and memory formation. Specifically, emerging evidence indicates poor outcomes in autoimmune
and cancer patients. We propose that autoimmune patients and severe COVID-19 infection will
share an exacerbated pathological response while cancer patients with disease-associated or
treatment-induced immune deficiency, will fail to mount a protective anti-viral response. Here, we
shall interrogate the effector B cell response to SARS-CoV-2 to identify determinants of protective
and pathogenic responses in HC and autoimmune subjects."
11171022,"Administrative Core
Abstract:
The administrative core for the Emory SeroNet U54 program will provide oversight and
management of the entire program. It is led by two investigators with considerable prior
experience in leading large multi-disciplinary teams. The leadership team will be
supported by dedicated staff for management support. An internal and external scientific
advisory board will provide oversight for this center. Core executive leadership group for
this center will consist of individual project and core leaders. The specific aims of the
administrative core are: Aim 1: To provide management and integration of center
activities and track progress of individual projects and core operations; Aim 2: To
provide oversight for trans-network projects and enhance participation in SeroNet
activities; Aim 3: To provide the infrastructure for center and program evaluation."
11170833,"PROJECT SUMMARY/ABSTRACT
Overall, the world population is aging and in the era of anti-retroviral therapy (ART) people living with HIV
(PLWH) live longer. ART has converted HIV infection into a survivable chronic infection; however,
comorbidities are a mounting clinical reality, likely related to accelerated immunosenescence. It is well
documented that HIV infection leads to accelerated aging, and HIV-1 chronic infection is considered a good
model for studying immunosenescence. The impact of aging on increased susceptibility to infections and
reduced responsiveness to vaccines is a well-known clinical problem. Antibodies are one of the first and most
important responses against pathogens and the reason for this dampened immune response with aging may
be due to age-related reduced humoral immunity (B cell immunosenescence). Humoral immunity has been
understudied in humans, particularly in lymphoid tissue, due to the difficulty of sample availability. It is not clear
how accurately changes observed in blood reflect immunosenescence processes in tissues, especially the
gastrointestinal mucosa which contains most of the body’s lymphocytes (~60%) and it is a region of high
antigen exposure. Therefore, gut-associated lymphoid tissue (GALT) represents a good model to study
lymphoid tissue in humans that is highly exposed to antigen stimulation. A growing body of literature has begun
to reveal the pathophysiological processes driving immune dysfunction of T cells, including work by our team,
which has studied the human mucosal immune compartment. It is not well understood how aging depresses
humoral immunity and there are little or no studies on humoral immunity in the mucosal immune compartment.
Compared to blood, gut mucosa contains fewer naïve cells, more activated memory cell, and more antibody
secreting cells, consistent with the high level of antigen exposure. Therefore, in this study, we propose to
analyze the individual and combined impact of age and HIV-1 on immunosenescence of humoral
immunity, especially in the highly immune active gastrointestinal tract, by quantifying B-cell immune
aging in GALT and peripheral blood in PLWH, as a model of accelerated aging, and in people without
HIV (PWOH). Our hypothesis is that natural aging and HIV-1-induced-accelerated aging diminishes the
capacity of the immune system to produce efficient antibody responses in the periphery and GALT; this will be
a result of inappropriate accumulation of memory-effector T-cells fueled by chronic persistent viral infections,
causing ineffective follicular helper T-cells, inefficient recall of cytotoxic responses, and a generalized,
persistent low-level inflammatory state. The Specific Aims to test this hypothesis are: Aim 1: To determine
age-related B cell lymphocyte senescence in the GALT versus peripheral blood compartments of PWOH and
PLWH ranging in age from 18 to ≥60-65 years. We will also study the functional aspects of B cells in terms of
antibody production and B cell receptor repertoire. Aim 2: To determine if the accelerated B lymphocyte
senescence seen in GALT affects humoral responses, using SARS-CoV-2 as a neoantigen challenge model."
11171076,"PROJECT SUMMARY
Pregnancies among women with developmental disabilities that affect cognition (DD-C) are often unplanned,
which may contribute to the poor pregnancy outcomes that have been observed in this population. Existing
research indicates that women with DD-C have limited reproductive knowledge, face substantial barriers to
comprehensive preconception care, are rarely engaged as active participants in reproductive decision-making,
and are frequently discouraged from considering pregnancy or motherhood. This combination of disadvantages
leaves women with DD-C ill-prepared to make informed decisions about pregnancy planning and places them
at risk of unintended pregnancies and adverse pregnancy outcomes. Currently, there are no resources tailored
to the needs of women with DD-C to help them make informed, evidence-based decisions about attempting or
preventing pregnancy. Data are lacking on the specific information women with DD-C need for making
pregnancy planning decisions and the optimal approaches for presenting relevant information in a way that
women with DD-C will understand, relate to, and trust. The long-term goal of this work is to promote informed,
engaged pregnancy decision-making among women with DD-C to improve maternal and child health
outcomes. In this project, the overall objective is to assess needs and determinants of pregnancy planning
decisions among women with DD-C and develop an accessible pregnancy decision support tool. Specifically,
we aim to: 1) Identify the information needs, factors influencing pregnancy decision-making, and priority setting
processes regarding pregnancy in women with DD-C; 2) Characterize current pregnancy knowledge and
comprehension of different methods of presenting information in a multi-state sample of women with DD-C;
and 3) Design a patient-friendly interactive decision aid to promote evidence-based pregnancy decision-
making by women with DD-C. The research proposed in this application is innovative because the project is
conducted in collaboration with women with DD-C and because it is the first to investigate relationships
between framing of information and the extent to which women with DD-C understand and trust that
information. The expected outcome from this project is a novel, intellectually appropriate tool to optimize
pregnancy timing and outcomes for women with DD-C. The tool will have established usability and
acceptability within our target population and will be ready for future efficacy testing in a clinical trial. The
proposed research is significant because it will determine which methods are most effective for communicating
medical information to women with DD-C – a positive impact of this project that extends beyond pregnancy
decision-making."
11122156,"The goal of the Adjuvant Comparison and Characterization (ACC) program is to support side-by-side comparison of adjuvants in combination with clinically relevant vaccine/antigen platforms, and to establish both systemic and tissue-specific immunological profiles (“immune fingerprints”) of adjuvants that work through different mechanisms in the context of Influenza (flu), Chlamydia muridarum (Cm), and Coxiella burnetii (Cb)."
11159356,"The goal of the Adjuvant Comparison and Characterization (ACC) program is to support side-by-side comparison of adjuvants in combination with clinically relevant vaccine/antigen platforms, and to establish both systemic and tissue-specific immunological profiles (“immune fingerprints”) of adjuvants that work through different mechanisms in the context of SARS-CoV-2 (COVID-19) vaccines."
11172341,"Rapid Diagnostic Assays for Self-Monitoring of Acute or Rebound HIV-1 Infection: The goal of this program is to develop low-cost, rapid diagnostic assays needed to enable untrained individuals to test for HIV-1 infection during the earliest stages of initial infection or during loss of viral suppression in chronic treated infection – times when antibody responses are not an accurate surrogate for viral load. Assays will be designed for self-testing at home (or in other locations), so that individuals collect their own samples, perform the test, and read the results without the need to send a sample to a laboratory. The assay should be easy to be carried out and designed for use by individuals who are at risk of HIV infection, including those taking pre-exposure prophylaxis (PrEP), who wish to detect HIV infection as early as possible, as well as people living with HIV (PLWH) who wish to detect viral spikes or rebound either while on antiretroviral therapy or during treatment interruption. The goal of this contract is to develop a home-based HIV-1 viral load detection assay using microfluidics-based electrochemical sensing of two biomarkers: viral HIV-1 RNA and MS2 bacteriophage RNA."
11167995,"PROJECT SUMMARY/ABSTRACT
There is considerable societal need to better understand neurobiological mechanisms, psychosocial processes,
treatments, preventions, and policy in child and maternal pain. This application seeks funding for a T90/R90
institutional postdoctoral training program in clinical pain research, with a focus on maternal and childhood pain,
at Stanford University. Our proposal describes a collaborative, interdisciplinary postdoctoral training program to
bolster the clinical pain research workforce as outlined through the NIH HEAL Initiative Partnership to Advance
Interdisciplinary (PAIN) Training in Clinical Pain Research. We venture to join with other T90/R90 postdoctoral
training programs in clinical pain research to foster a diverse cohort experience through the HEAL PURPOSE
network (R24 Coordinating Center for National Pain Scientists). This T90/R90 will reside within the Department
of Anesthesiology, Perioperative, and Pain Medicine and be in partnership with the Maternal and Child Health
Research Institute, the Department of Pediatrics, Psychiatry and Behavioral Sciences, and Biomedical Data
Science at Stanford University School of Medicine. This program will provide mentorship to diverse trainees to
launch and maintain productive careers in the clinical pain research workforce. We propose training offive fellows
per year who will spend 2-3 years cumulative time in research. Research opportunities are offered by the NIHfunded
faculty mentors with proven records of success in the training of postdoctoral fellows, with diverse
research programs ranging from data science, translational, clinical, and health services research. Core faculty
research leaders will help match trainees to mentors within the HEAL clinical pain research content areas of: (1)
bioinformatics, (2) pain across the lifespan, specifically child and maternal pain, (3) nonpharmacological
(behavioral) interventions for pain, (4) prevention of the transition from acute to chronic pain and (5) advancing
health equity in the field of pain. Program mentors will provide training in clinical pain research, neuroscience,
biomedical data science, behavioral health, epidemiology, maternal health, and health in children and
adolescents. The training will (1) integrate the biopsychosocial model of pain, (2) use a team science approach
through partnerships with psychiatry, pediatrics and biomedical data science, (3) center on whole person health
to reduce stigma and bias, (4) incorporate patient participatory research methods to ensure lived experiences of
pain inform the clinical research outputs, (5) provide advanced statistics and research methods, (6) involve
grantsmanship skills, and (7) prepare for applying for and securing academic positions in clinical pain research.
Lastly, the program will coordinate monthly webinars related to HEAL priority areas to be shared on the
PURPOSE website, an annual Maternal and Child Pain School open to all cohort participants, and a robust
didactic program to provide career development skills with seminars in stated training areas. Trainee progress
will be monitored by the Assessment and Evaluation Team. The long-term goal of this T90/R90 is to train the
next generation of interdisciplinary and diverse scientific leaders in maternal and/or child pain."
