APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,OPPORTUNITY NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,TOTAL_COST_SUB_PROJECT
10880296,IK2,VA,5,N,2024-09-13,2024-08-01,2025-07-31,999,IK2HX003474,NA,HX-22-009,5IK2HX003474-02,NA,OTHERS,2024,Veterans Affairs,NA,PALO ALTO,UNITED STATES,NA,16,046017455,US,481014,VETERANS ADMIN PALO ALTO HEALTH CARE SYS,CA,943041207,"Nearly 50% of Veterans suffer from chronic non-cancer pain and Veterans are 40% more likely to suffer from severe and debilitating pain than the general U.S. population. Veterans of color and women (referred to collectively as “diverse Veterans” in this CDA) are subject to unjust and risky pain treatment, including guideline-discordant opioid therapy. The VA has dedicated significant resources to evidence-based, non- pharmacological pain treatments (NPTs) to curtail the opioid epidemic, yet these treatments are not reaching diverse Veterans. Implementation mapping can be used to identify key barriers and facilitators to NPT use and map them to relevant implementation strategies and target users. Thus, the purpose of this CDA is to develop and test a tailored implementation blueprint to enhance NPT use among diverse Veterans using implementation mapping. This CDA builds on strong operational partnerships and Veteran engagement and aligns with major VA Strategic Priorities. Findings may be applied to other marginalized groups.",11977058 (contact),"JAVIER, SARAH JANE (contact)",NA,2023-08-01,2028-07-31,Academic Detailing;access disparities;addiction;Address;Adoption;Affect;Area;Automobile Driving;Belief;Biological;Caring;Cessation of life;Chronic;chronic pain;chronic pain management;Clinic;Color;Data;data warehouse;debilitating pain;Decision Aid;Dedications;Development;Disparity;Dose;Education;empowerment;Ethnic Origin;Evaluation;evidence base;Evidence based practice;experience;Funding;Future;future implementation;Gender;gender difference;Goals;Guidelines;health equity;Health system;Heterogeneity;Hospitalization;implementation design;implementation facilitators;implementation outcomes;implementation science;implementation strategy;Individual;Inequity;innovation;Interview;Investigator-Initiated Research;Logistic Regressions;Maps;marginalized population;Measures;men;Mentorship;Methodology;Methods;military veteran;Monitor;Needs Assessment;non-cancer chronic pain;Opioid;opioid epidemic;opioid therapy;Outcome;outreach;Pain;Pain management;patient outreach;Patient Selection;Patients;Pharmacological Treatment;Population;Protocols documentation;Provider;psychologic;Race;racial bias;Reporting;Research;Research Methodology;Research Personnel;Research Proposals;Resources;Sampling;Self Efficacy;Site;Skin;social;Source;stakeholder perspectives;stem;Surveys;Testing;Training;Treatment Protocols;uptake;Veterans;whole health;Woman;Women&apos;s Health,Addressing Disparities In Pain Management,3474,MRA0,Research Career Scientist[MRA0],NA,NA,2,NA,NA,NA,NA
10880297,U19,FD,5,N,2024-06-28,2024-07-01,2025-06-30,103,U19FD007069,EARTH SCIENCES/RESOURCES,PAR-20-105,5U19FD007069-05,FDA:440000\,NON-SBIR/STTR RPGS,2024,FOOD AND DRUG ADMINISTRATION,NA,MISSISSIPPI STATE,UNITED STATES,BIOCHEMISTRY,03,075461814,US,5386501,MISSISSIPPI STATE UNIVERSITY,MS,397625227,"Narrative The Mississippi State Chemical Laboratory is a regulatory agency seeking to enhance the integrated food safety system of Mississippi in an effort to better protect the health its constituents. This will be accomplished by strengthening our collaborations with other State and Federal regulatory partners, broadening our surveillance program for human and animal food products, expanding our scope of ISO 17025 accreditation, and improving our means of data transmission to the FDA by using the National Food Safety Data Exchange.",11358512 (contact),"SPARKS, DARRELL LYNN (contact)","LI, MEI-YING",2020-09-01,2025-06-30,NA,Enhancement of Mississippi’s Capabilities in Integrated Food Safety Partnerships,7069,ZFD1,ZFD1-ORA-K(01)1,NA,NA,5,302405,137595,440000,NA
10880298,U19,FD,5,N,2024-07-24,2024-07-01,2025-06-30,103,U19FD007116,NA,PAR-20-105,5U19FD007116-05,FDA:274096\,NON-SBIR/STTR RPGS,2024,FOOD AND DRUG ADMINISTRATION,NA,LANSING,UNITED STATES,NA,07,113704139,US,5234501,MICHIGAN STATE DEPARTMENT OF HEALTH AND HUMAN SERVICES,MI,489331805,"Project Narrative: Comprehensive surveillance activities are essential for the detection of bacterial pathogens in food products, has a tremendous impact in developing public health strategies thereby implementing remedial action for food borne illness across the State of Michigan. MDHHS BOL will therefore support FDA with food defense projects, molecular surveillance for food borne pathogens by whole genome sequencing and developing the laboratory capacity for detecting Cyclospora in food products.",16493950 (contact),"SOEHNLEN, MARTY  (contact)","LI, MEI-YING",2020-09-01,2025-06-30,NA,FDA- Laboratory Flexible Funding Model (MICROBIOLOGY),7116,ZFD1,ZFD1-ORA-K(01)1,NA,NA,5,241339,38661,274096,NA
10880299,R44,MH,5,N,2024-07-29,2024-07-29,2025-06-30,242,R44MH122052,NA,PA-21-259,5R44MH122052-05,NIMH:378127\,SBIR-STTR RPGS,2024,NATIONAL INSTITUTE OF MENTAL HEALTH,NA,CAMBRIDGE,UNITED STATES,NA,07,116931800,US,10055001,QUIVER BIOSCIENCE INC.,MA,02140,"Project Narrative Functional drug fingerprinting with all-optical electrophysiology Q-State has developed “drug fingerprinting” algorithms to identify reliable patterns in the electrophysiological properties of human stem cell derived neurons when altered by disease states and chemical matter. By fingerprinting clinically relevant compounds, we extend this technology to computationally assisted drug screening and drug repurposing, accelerating therapeutic discovery for neurological diseases. Expanding our fingerprinting assays to high-content imaging and to additional neuronal cell types will yield a richer map of the characteristics of human neurons with even greater sensitivity and scope, with the potential for broad applications in disorders of the nervous system.",10388259 (contact);12203458,"HARWOOD, BENJAMIN NATHANIEL (contact);RYAN, STEVEN JOHN","ANDERSON, PAIGE MARIE",2019-09-20,2025-06-30,Acceleration;Address;Algorithms;anti-epileptic agents;Area;Artificial Intelligence;Automation;Behavior;Biological;Biological Assay;Biological Sciences;Brain;Cell model;cell type;Cells;Cellular Morphology;Central Nervous System Diseases;Characteristics;Chemicals;Child;Clinical;clinical application;clinical candidate;clinical development;clinically relevant;Code;commercialization;Complex;computerized tools;Custom;Data;data streams;Databases;Defect;design;Development;Dimensions;Disease;disease model;disease phenotype;Dose;drug development;drug repurposing;Drug Screening;druggable target;efficacy clinical trial;Electrophysiology (science);Epilepsy;excitatory neuron;explainable artificial intelligence;FDA approved;Fingerprint;Fireflies;Genetic;Genetic Models;Hand;Hour;Human;Human Characteristics;human induced pluripotent stem cells;human stem cell-derived;Image;improved;in silico;In Vitro;in vivo;in vivo evaluation;Individual;induced pluripotent stem cell;Induced pluripotent stem cell derived human neuron;inhibitory neuron;instrument;Learning;Libraries;Machine Learning;Manuals;Maps;Measurement;Measures;Methods;Microscope;millisecond;Modality;Modeling;Molecular Target;Morphology;mouse model;multimodality;Mutation;Nervous System Disorder;neuronal excitability;Neurons;novel;novel therapeutics;Optics;patch clamp;Pathway interactions;Pattern;Pharmaceutical Preparations;pharmacologic;Phase;Phenotype;Process;Production;programs;Property;Records;Reporting;Research;Resolution;Retinal blind spot;Rodent Model;Safety;screening;Series;Small Business Innovation Research Grant;Stimulus;success;Techniques;Technology;temporal measurement;Testing;Therapeutic;therapeutic candidate;Time;tool;Training;TSC2 gene;Validation;Visualization,Functional drug fingerprinting with all-optical electrophysiology,122052,ZRG1,Special Emphasis Panel[ZRG1-ETTN-G(13)B],NA,NA,5,309564,43826,378127,NA
10880300,K08,HL,5,N,2024-07-03,2024-08-01,2025-07-31,837,K08HL153782,NA,PA-20-203,5K08HL153782-03,NHLBI:167940\,OTHER RESEARCH-RELATED,2024,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",NA,BOSTON,UNITED STATES,NA,07,076593722,US,1504801,BOSTON CHILDREN'S HOSPITAL,MA,021155724,"PROJECT NARRATIVE An effective therapy with reduced risks and side effects for treating venous malformations is greatly needed. We propose to develop an intravenous drug delivery system comprised of very small (“nano”) particles that will convert to a tissue-targeting state when irradiated within venous malformations. By our strategy, the accumulation of drugs at the disease site will be enhanced while off-target drug delivery will be minimized.",15273894 (contact),"CULLION, KATHLEEN  (contact)","WOO, SEUNG KYOON",2022-08-01,2027-07-31,Affect;Anatomy;Anemia;Animal Model;Animals;Area;Binding;Biodistribution;Biological;Biomedical Engineering;Blood flow;Blood Vessels;caged molecule;Cancer Biology;career;career development;Cells;Child;Combined Modality Therapy;Complex;Congenital Abnormality;Development Plans;Disease;Dose;Drug Delivery Systems;drug distribution;Drug Targeting;effective therapy;efficacy evaluation;Endothelium;Event;Exposure to;fluorophore;Formulation;FRAP1 gene;Functional impairment;Funding;Goals;Growth;Hemorrhage;Human;Immunosuppression;improved;in vivo;Incidence;Infection;inhibitor;Intravenous;Intravenous Drug Delivery Systems;irradiation;kinase inhibitor;Label;Lesion;Ligands;Light;Location;Mentors;Mentorship;Modeling;Modification;mouse model;Mus;nano;nanolabel;nanomedicine;nanoparticle;nanoparticle drug;nanoparticulate;Operative Surgical Procedures;Organ failure;Pain;particle;Particle Size;Patients;Pharmaceutical Preparations;Pharmacotherapy;Physicians;prevent;Research;Risk;Scientist;Sclerotherapy;side effect;Sirolimus;Site;skill acquisition;Smooth Muscle;Source;Surface;Surgical Management;System;systemic toxicity;targeted treatment;Technical Expertise;Techniques;Testing;Therapeutic Effect;Therapeutic Studies;thrombotic;Tissues;Training;Translational Research;Treatment Efficacy;tumor;uptake;Venous Malformation,Developing Nanoparticle Drug Delivery Systems for Venous Malformations,153782,MCBS,NHLBI Mentored Clinical and Basic Science Study Section[MCBS(MA)],NA,NA,3,155500,12440,167940,NA
10880301,R37,AA,5,N,2024-06-21,2024-07-01,2025-06-30,273,R37AA020703,SCHOOLS OF MEDICINE,PA-19-056,5R37AA020703-14,NIAAA:422582\,NON-SBIR/STTR RPGS,2024,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,NA,LA JOLLA,UNITED STATES,INTERNAL MEDICINE/MEDICINE,50,804355790,US,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,920930621,"Project Narrative Alcoholic liver disease affects several million people in the United States, and alcohol abuse is the most important cause of liver cirrhosis in industrialized countries. Chronic alcohol consumption is associated with changes in the composition of intestinal bacteria, but the exact mechanisms of intestinal bacterial overgrowth and dysbiosis are poorly understood. Understanding the mechanisms by which alcohol results in microbiome changes and understanding how these changes contribute to liver disease, would greatly enhance our ability to design preventive and therapeutic interventions for patients with chronic alcohol abuse.",8779474 (contact),"SCHNABL, BERND G. (contact)","WANG, JOE",2011-09-25,2026-06-30,Affect;Alcohol abuse;alcohol use disorder;Alcoholic Hepatitis;Alcoholic Liver Diseases;Alcoholism;Alcohols;apical membrane;Bacteria;Bacterial Translocation;Bacteriophages;Binding;Cessation of life;Chronic;chronic alcohol ingestion;Complement;Complement Receptor;Country;cytokine;Cytolysins;Data;design;Developed Countries;Development;Disease;dysbiosis;Engineering;Enterococcus faecalis;Epithelial Cells;Ethanol;Etiology;Exotoxins;Experimental Models;Exposure to;Extracellular Domain;feeding;Fucose;Functional impairment;gain of function;Galactose;Glycocalyx;Glycoproteins;Growth;gut colonization;gut microbiota;Hepatic;Hepatocyte;humanized mouse;immunoglobulin receptor;improved;Inflammatory;Innate Immune Response;innovation;insight;Interleukin-1 beta;interleukin-22;Intervention;intestinal epithelium;Intestinal Mucosa;Intestinal permeability;Intestines;Kupffer Cells;Laboratories;Liver;Liver Cirrhosis;Liver diseases;liver inflammation;liver injury;loss of function;Mediating;Medical;microbiome;microbiome research;microbiota;mortality;mouse model;Mucous Membrane;Mus;Nature;novel;pathogen;Patients;Pattern;Persons;Phagocytes;Phagocytosis;pharmacologic;Pharmacological Treatment;Pre-Clinical Model;prebiotics;prevent;preventive intervention;Publications;receptor;Recombinants;Research;resistance factors;Role;Secretor blood group alpha-2-fucosyltransferase;Severity of illness;Surface;System;Testing;Therapeutic Intervention;Toxin;United States,Microbiome and Intestinal Innate Immune Response in Alcoholic Liver Disease,20703,HBPP,Hepatobiliary Pathophysiology Study Section[HBPP],NA,NA,14,267457,155125,422582,NA
10880302,R01,DK,5,N,2024-07-08,2024-07-01,2025-06-30,847,R01DK131059,SCHOOLS OF MEDICINE,PA-20-185,5R01DK131059-04,NIDDK:486512\,NON-SBIR/STTR RPGS,2024,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,NA,GAINESVILLE,UNITED STATES,PATHOLOGY,03,969663814,US,513806,UNIVERSITY OF FLORIDA,FL,326115500,"The three principal investigators affiliated with this proposal have pioneered studies uncovering a potential role for the endocrine and exocrine pancreas in type 1 diabetes (T1D), including: 1) characterizing T1D development in organ donor pancreata (Atkinson); 2) the use of imaging mass cytometry (IMC) for simultaneous in situ detection of over 40 validated protein and mRNA molecules, now with 120 validated targets in human pancreas tissue (Bodenmiller); and 3) utilizing pancreas tissue slice culture to assess islet and acinar cell function by live cellular imaging of Ca2+ signaling, as well as endocrine hormone and exocrine enzyme secretion (Speier). Herein, we propose to apply these techniques, along with single cell transcriptomic and epigenomic profiling, in fresh organ donor pancreata to address the hypothesis that altered β-cell status and the surrounding microenvironment contribute to impaired insulin processing, altered islet and exocrine cell function, and insulitis during T1D progression. We expect these studies to link cellular dysfunction, phenotype, and organization in the pre-T1D and T1D conditions, thereby identifying an integrated T1D signature at the islet↔immune↔exocrine interface, providing novel insights into disease mechanisms and therapeutic interventions.",1874444 (contact);12587219;14736697,"ATKINSON, MARK A. (contact);BODENMILLER, BERND ;SPEIER, STEPHAN","BLONDEL, OLIVIER",2021-09-17,2026-06-30,3-Dimensional;Acinar Cell;Address;Age;Agonist;Alpha Cell;Amylases;Antibodies;antibody conjugate;Area;Arginine;Autoantibodies;Autoimmunity;Autophagocytosis;Beta Cell;Biological Assay;Blood Vessels;Carbachol;Caring;Cell Death;Cell Physiology;cell type;Cells;Cellular Stress;Characteristics;Cholecystokinin;Computer Analysis;cytokine;Cytometry;Data;Defect;Detection;Deterioration;Development;Diabetes Mellitus;diabetes pathogenesis;diabetogenic;Disease;Disease Progression;Dissociation;Endocrine;endoplasmic reticulum stress;Enhancers;Environment;Enzymes;Epigenetic Process;epigenomic profiling;epigenomics;Epitopes;exenatide;Exocrine pancreas;experience;Extravasation;Failure;Functional disorder;GLP-I receptor;Glucagon;Glucose;Histology;Hormones;Human;Image;Imatinib;Immune;immune cell infiltrate;Impairment;In Situ;indexing;Individual;Infiltration;Inflammation;Inflammatory;innovation;insight;Insulin;Insulin-Dependent Diabetes Mellitus;insulitis;Intervention;islet;Islet Cell;islet cell antibody;Islets of Langerhans;Laboratories;Link;Lipase;live cell imaging;Location;Lymphatic;Maps;Measures;Messenger RNA;Metabolic Pathway;Methodology;Molecular;Molecular Profiling;Natural History;non-diabetic;novel;Oligonucleotides;Organ;Organ Donor;Pancreas;Pathology;Pathway interactions;Persons;Phenotype;Physiological;prevent;Principal Investigator;Production;programs;Proinsulin;Proteins;Proteomics;reconstruction;Recovery;Residencies;Resolution;response;Role;senescence;Series;Serum;Signal Pathway;Signal Transduction;single cell ATAC-seq;single-cell RNA sequencing;Slice;Stimulus;Structure of beta Cell of islet;System;targeted imaging;Techniques;Testing;therapeutic candidate;Therapeutic Intervention;therapeutic target;Time;Tissue-Specific Gene Expression;Tissues;tool;trafficking;transcriptome;transcriptomics;Transplantation;Trypsin;Trypsinogen;Tyrosine Kinase Inhibitor,"Co-registration of Cell Organization, Phenotype and Function in the Human Pancreas During Type 1 Diabetes",131059,BMDM,Basic Mechanisms of Diabetes and Metabolism Study Section[BMDM],NA,NA,4,386539,99973,486512,NA
10880303,K23,HL,5,N,2024-06-11,2024-07-01,2025-06-30,837,K23HL153774,SCHOOLS OF MEDICINE,PA-19-119,5K23HL153774-05,NHLBI:198180\,OTHER RESEARCH-RELATED,2024,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",NA,BALTIMORE,UNITED STATES,INTERNAL MEDICINE/MEDICINE,07,001910777,US,4134401,JOHNS HOPKINS UNIVERSITY,MD,212182680,"PROJECT NARRATIVE This project will investigate the pathways linking diabetes to heart failure and its subtypes, using innovative epidemiological, plasma proteomic, and cardiac PET imaging approaches. This work will inform efforts to predict and prevent heart failure among individuals with diabetes.",14643175 (contact),"ECHOUFFO TCHEUGUI, JUSTIN BASILE (contact)","WOO, SEUNG KYOON",2020-08-01,2025-06-30,Acceleration;Adult;Animals;aptamer;Atherosclerosis Risk in Communities;Biological Markers;Biostatistical Methods;Cardiac;Cardiovascular Diseases;cardiovascular risk factor;Cardiovascular system;career;Characteristics;Circulation;Clinic;Clinical;Clinical Research;cohort;Communities;Competence;Complement;Coronary;Coronary Arteriosclerosis;Data;Data Collection;design;Development;Diabetes Mellitus;diabetic;Diagnosis;Doctor of Philosophy;Early Diagnosis;EFRAC;Endocrinology;endothelial dysfunction;Endothelin-1;Endothelium;Epidemiologic Methods;Epidemiology;experience;Five-Year Plans;follow-up;Functional disorder;Funding;Future;Goals;Grant;Heart failure;heart imaging;Hospitals;Human;Hyperglycemia;Image;imaging approach;Imaging Techniques;improved;Incidence;Individual;Inflammation;Inflammatory;Injury;innovation;Intervention;Investigation;Link;Measures;medical schools;Mentored Patient-Oriented Research Career Development Award;Mentors;metabolic imaging;Metabolism;Microvascular Dysfunction;Molecular;Myocardial;Myocardial dysfunction;myocardial injury;Non-Insulin-Dependent Diabetes Mellitus;novel;novel marker;older adult;Participant;Pathogenicity;Pathology;Pathway interactions;Patient Recruitments;Patients;Performance;Phenotype;Physicians;Plasma;Plasminogen Activator Inhibitor 1;Play;Positioning Attribute;Positron-Emission Tomography;Prediabetes syndrome;preservation;prevent;Prevention;Preventive;professor;programs;Prospective cohort;Proteins;Proteomics;recruit;Research;Research Design;Research Proposals;Risk;risk prediction;Sampling;Scientist;Series;skill acquisition;skills;Statistical Models;Stress;Structure;System;Techniques;Training;United States National Institutes of Health;Universities;Ventricular Dysfunction;Ventricular Remodeling;Work,"Establishing the Pathways Between Diabetes and Cardiac Dysfunction: Epidemiology, Biomarkers, and Imaging",153774,MPOR,NHLBI Mentored Patient-Oriented Research Study Section[MPOR(MA)],NA,NA,5,183500,14680,198180,NA
10880304,U19,FD,5,N,2024-08-06,2024-07-01,2025-06-30,103,U19FD007083,NA,PAR-20-105,5U19FD007083-05,FDA:190743\,NON-SBIR/STTR RPGS,2024,FOOD AND DRUG ADMINISTRATION,NA,LINCOLN,UNITED STATES,NA,01,808820344,US,10006944,NEBRASKA ST DEPARTMENT OF AGRICULTURE,NE,685216729,"Nebraska Department of Agriculture Laboratory, PAR-20-105 Project Narrative The Nebraska Department of Agriculture (NDA) Laboratory is applying for eight project tracks under the Laboratory Flexible Funding Model to enhance human and animal food testing capacity and expand our testing capabilities. In this new era of food safety, Nebraska will continue to collaborate with FDA and state partners to strengthen our national network of laboratories. Together we will accelerate the traceability of food contamination events, respond to emerging food safety issues more efficiently, and achieve an Integrated Food Safety System.",78030630 (contact),"PEARSON, ERIK  (contact)","LI, MEI-YING",2020-09-01,2025-06-30,NA,Enhance Capacity and Capability of State Human and Animal Food Testing - Nebraska Department of Agriculture,7083,ZFD1,ZFD1-ORA-K(01)1,NA,NA,5,205000,0,190743,NA
10880305,U19,FD,5,N,2024-07-02,2024-07-01,2025-06-30,103,U19FD007082,NA,PAR-20-105,5U19FD007082-05,FDA:134909\,NON-SBIR/STTR RPGS,2024,FOOD AND DRUG ADMINISTRATION,NA,FRANKFORT,UNITED STATES,NA,01,927049767,US,4242701,KY ST CABINET/HEALTH/FAMILY SERVICES,KY,406012321,"BETH JOHNSON 4/2/20 Kentucky DPH Environmental Micro and Chemistry Food Surveillance and Protection Project Narrative: PAR -20-15 3/25/20 This funding is critical in order to provide support for the Food Safety Branch/KY State MFRPS and the conformance of Standard 10. This proposal will allow DLS to increase and enhance the analytical capacity and testing diversity, in both environmental microbiology and chemistry that can be provided to the Commonwealth of KY, as we are the only Public Health Laboratory in the State of Kentucky.",16381471 (contact),"JOHNSON, BETH D (contact)","LI, MEI-YING",2020-09-01,2025-06-30,NA,Kentucky DPH Environmental Micro and Chemistry Food Surveillance and Protection.,7082,ZFD1,ZFD1-ORA-K(01)1,NA,NA,5,185000,0,134909,NA
